Restaurant ID,Restaurant Name,City,country name,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
8092,Shivam Fast Food,Noida,India,"Shop 1, C Block, Near HCL Call Center, Sector 59, Noida",Sector 59,"Sector 59, Noida",77.362613,28.608844,indian,350,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,12
8095,JSB Evergreen Cool Point,Noida,India,"25, C Block Market, Sector 41, Noida",Sector 41,"Sector 41, Noida",77.36202,28.569218,FAST FOOD,450,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,56
8096,Hasty Tasty Fast Food,Noida,India,"Opposite HCL, N 1, Sector 58, Noida",Sector 58,"Sector 58, Noida",77.362571,28.605784,indian,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
8099,Vrindavan Sweets & Restaurant,Faridabad,India,"A-3, Pul Prahladpur, Main Suraj Kund Road, Suraj Kund, Faridabad",Suraj Kund,"Suraj Kund, Faridabad",77.290221,28.500235,FAST FOOD,350,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,22
8105,Amit Hotel,New Delhi,India,"A 110, New Ashok Nagar, Near, Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.308821,28.590303,indian,150,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,7
8108,Muradabadi Chicken Biryani & Dhaba,New Delhi,India,"B-116, New Ashok Nagar, Near Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.306353,28.589274,indian,450,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
8109,Ankur Family Restaurant,New Delhi,India,"B 17/E Metro Station, New Ashok Nagar, Near Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.306279,28.589201,indian,300,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4
8110,Nine 2 Nine Snacks & Restaurant,New Delhi,India,"B-1/26, New Ashok Nagar, Near, Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.306591,28.589044,indian,250,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,5
8115,The Chef,Noida,India,"5, Block 331 A, Gulmohar Market, Sector 15-A Market, Sector 15, Noida",Sector 15,"Sector 15, Noida",77.310934,28.577382,FAST FOOD,500,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average,8
8128,Mirage Restro Bar,Faridabad,India,"2nd Floor, Crown Plaza Mall, Sector 15-A, Sector 15, Faridabad","Crown Plaza Mall, Sector 15, Faridabad","Crown Plaza Mall, Sector 15, Faridabad, Faridabad",77.313102,28.397808,indian,1000,Indian Rupees(Rs.),Yes,No,No,No,3,2.4,Red,Poor,25
